Customer ID,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Referred a Friend,Number of Referrals,Tenure in Months,Tenure Category,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,New Customer,Churn Label,Churn Score,CLTV,Churn Reason,Population,Engagement Score,Gender_Male,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Churn Category_Attitude,Churn Category_Competitor,Churn Category_Dissatisfaction,Churn Category_Price,Density_High,Density_Low,Contract_Month-to-Month,Contract_One Year,Contract_Two Year
8779-QRDMV,0.9672131147540984,0,1,0,0,0.0,Los Angeles,0,0.0,0.0,0.0,0,0.0,0,1,0.09411764705882353,0,0,1,0,0,1,0,0,1,0.21293532338308457,0.0024059543041772442,0.0,0.13333333333333333,0.0,0.0032020458304830753,0.5,0,1,0.945054945054945,0.7627307093617968,Competitor offered more data,0.652487793757243,0.14285714285714285,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0
7495-OOKFY,0.9016393442622951,0,1,1,1,0.1111111111111111,Los Angeles,1,0.09090909090909091,0.09859154929577466,0.25,1,0.9771954390878176,1,1,0.2,0,1,0,0,0,0,0,1,1,0.6208955223880598,0.07090930071543965,0.0,0.0,0.10962992885836757,0.0838552999754139,0.5,0,1,0.7032967032967034,0.7336001778963752,Competitor made better offer,0.5286870452343408,0.5714285714285714,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
1658-BYGOY,0.8524590163934426,0,1,0,1,0.3333333333333333,Los Angeles,0,0.0,0.23943661971830985,0.5,1,0.22664532906581317,1,1,0.611764705882353,0,0,0,0,1,1,1,1,1,0.7681592039800995,0.20006346642049389,0.9160473990761197,0.0,0.05721066451221976,0.15801330994030766,0.25,0,1,0.8351648351648352,0.26150767178118745,Competitor made better offer,0.45142200353363604,0.42857142857142855,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
4598-XLKNJ,0.9672131147540984,0,1,1,1,0.1111111111111111,Inglewood,1,0.09090909090909091,0.33802816901408456,0.5,1,0.3952790558111623,0,1,0.1411764705882353,0,1,1,0,1,1,0,1,1,0.7985074626865671,0.2879875375028848,0.2697328780879695,0.0,0.13858030925290069,0.248679960996757,0.25,0,1,0.9120879120879122,0.7413831443184344,Limited range of services,0.26375933278872277,0.5714285714285714,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
4846-WHAFZ,1.0,0,1,1,1,0.1111111111111111,Whittier,1,0.09090909090909091,0.5070422535211268,0.75,1,0.126625325065013,1,1,0.16470588235294117,0,0,0,0,0,0,0,1,1,0.5796019900497512,0.3287964458804523,0.0,0.0,0.06570221504073252,0.25765221216292383,0.25,0,1,0.6813186813186813,0.17567267066933506,Extra data charges,0.24938731310675,0.42857142857142855,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
4412-YLTKF,0.8688524590163934,0,1,0,1,0.1111111111111111,Pico Rivera,0,0.0,0.36619718309859156,0.5,1,0.06661332266453292,1,1,0.21176470588235294,0,0,1,0,0,0,0,0,1,0.5950248756218905,0.24425340410800833,0.0,0.06666666666666667,0.025222177337911534,0.18515250903580704,0.0,0,1,0.989010989010989,0.585946186346453,Competitor had better devices,0.6010695898322472,0.42857142857142855,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
0390-DCFDQ,0.9344262295081968,0,1,1,1,0.2222222222222222,Los Alamitos,1,0.09090909090909091,0.0,0.0,1,0.3056611322264453,0,1,0.3529411764705882,0,0,0,0,0,0,0,1,1,0.5194029850746269,0.005960073851834756,0.0,0.0,0.004286451670818466,0.005383016195042976,0.25,0,1,0.7802197802197802,0.43606849010451415,Don't know,0.20263312878773487,0.2857142857142857,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3445-HXXGF,0.7704918032786886,0,1,1,0,0.0,Sierra Madre,1,0.5454545454545454,0.8028169014084507,1.0,0,0.0,0,1,0.2823529411764706,0,1,1,0,0,1,0,1,1,0.2691542288557213,0.30376182783291017,0.8224543080939948,0.0,0.0,0.2164989404564985,0.0,0,1,0.945054945054945,0.7651767845230153,Service dissatisfaction,0.10018618082337519,0.42857142857142855,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
2656-FMOKZ,0.836065573770492,0,1,0,1,0.2222222222222222,Pasadena,0,0.0,0.19718309859154928,0.25,1,0.8815763152630527,1,1,0.22352941176470587,0,0,0,0,0,0,0,1,1,0.5592039800995025,0.13003692591737828,0.0,0.0,0.18544233488184206,0.14930531745328224,0.25,0,1,0.945054945054945,0.8258839226150767,Limited range of services,0.22542128160799438,0.42857142857142855,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
2070-FNEXE,0.9508196721311476,0,1,0,1,0.2222222222222222,Pasadena,0,0.0,0.08450704225352114,0.25,1,0.5391078215643129,0,1,0.21176470588235294,1,0,0,0,0,0,0,0,0,0.5791044776119403,0.05594276482806371,0.22193211488250653,0.0,0.05292140757198322,0.05517988824199406,0.25,0,1,0.8351648351648352,0.537247053591283,Lack of affordable download/upload speed,0.3073693409578813,0.2857142857142857,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0
