Customer ID,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,City,Referred a Friend,Number of Referrals,Tenure in Months,Tenure Category,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Paperless Billing,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Satisfaction Score,New Customer,Churn Label,Churn Score,CLTV,Churn Reason,Population,Engagement Score,Gender_Male,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_Cable,Internet Type_DSL,Internet Type_Fiber Optic,Payment Method_Bank Withdrawal,Payment Method_Credit Card,Churn Category_Attitude,Churn Category_Competitor,Churn Category_Dissatisfaction,Churn Category_Price,Density_High,Density_Low,Contract_Month-to-Month,Contract_One Year,Contract_Two Year,Cluster_Demo,Cluster_SVC,Cluster_Streaming,Cluster_Tenure,Cluster_Payment,Cluster_Profit,Cluster_Overall,Cluster_Churn
8779-QRDMV,0.9672131147540984,0,1,0,0,0.0,Los Angeles,0,0.0,0.0,0.0,0,0.0,0,1,0.0941176470588235,0,0,1,0,0,1,0,0,1,0.2129353233830845,0.0024059543041772,0.0,0.1333333333333333,0.0,0.003202045830483,0.5,0,1,0.945054945054945,0.7627307093617968,Competitor offered more data,0.652487793757243,0.1428571428571428,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,2,3,1,0,2,1,0,1
7495-OOKFY,0.9016393442622952,0,1,1,1,0.1111111111111111,Los Angeles,1,0.0909090909090909,0.0985915492957746,0.25,1,0.9771954390878176,1,1,0.2,0,1,0,0,0,0,0,1,1,0.6208955223880598,0.0709093007154396,0.0,0.0,0.1096299288583675,0.0838552999754139,0.5,0,1,0.7032967032967034,0.7336001778963752,Competitor made better offer,0.5286870452343408,0.5714285714285714,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,2,0,1
1658-BYGOY,0.8524590163934426,0,1,0,1,0.3333333333333333,Los Angeles,0,0.0,0.2394366197183098,0.5,1,0.2266453290658131,1,1,0.611764705882353,0,0,0,0,1,1,1,1,1,0.7681592039800995,0.2000634664204938,0.9160473990761197,0.0,0.0572106645122197,0.1580133099403076,0.25,0,1,0.8351648351648352,0.2615076717811874,Competitor made better offer,0.451422003533636,0.4285714285714285,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,2,0,2,0,2,0,0,1
4598-XLKNJ,0.9672131147540984,0,1,1,1,0.1111111111111111,Inglewood,1,0.0909090909090909,0.3380281690140845,0.5,1,0.3952790558111623,0,1,0.1411764705882353,0,1,1,0,1,1,0,1,1,0.7985074626865671,0.2879875375028848,0.2697328780879695,0.0,0.1385803092529006,0.248679960996757,0.25,0,1,0.9120879120879122,0.7413831443184344,Limited range of services,0.2637593327887227,0.5714285714285714,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,3
4846-WHAFZ,1.0,0,1,1,1,0.1111111111111111,Whittier,1,0.0909090909090909,0.5070422535211268,0.75,1,0.126625325065013,1,1,0.1647058823529411,0,0,0,0,0,0,0,1,1,0.5796019900497512,0.3287964458804523,0.0,0.0,0.0657022150407325,0.2576522121629238,0.25,0,1,0.6813186813186813,0.175672670669335,Extra data charges,0.24938731310675,0.4285714285714285,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,2,0,0,3
4412-YLTKF,0.8688524590163934,0,1,0,1,0.1111111111111111,Pico Rivera,0,0.0,0.3661971830985915,0.5,1,0.0666133226645329,1,1,0.2117647058823529,0,0,1,0,0,0,0,0,1,0.5950248756218905,0.2442534041080083,0.0,0.0666666666666666,0.0252221773379115,0.185152509035807,0.0,0,1,0.989010989010989,0.585946186346453,Competitor had better devices,0.6010695898322472,0.4285714285714285,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,1
0390-DCFDQ,0.9344262295081968,0,1,1,1,0.2222222222222222,Los Alamitos,1,0.0909090909090909,0.0,0.0,1,0.3056611322264453,0,1,0.3529411764705882,0,0,0,0,0,0,0,1,1,0.5194029850746269,0.0059600738518347,0.0,0.0,0.0042864516708184,0.0053830161950429,0.25,0,1,0.7802197802197802,0.4360684901045141,Don't know,0.2026331287877348,0.2857142857142857,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,0,3
3445-HXXGF,0.7704918032786886,0,1,1,0,0.0,Sierra Madre,1,0.5454545454545454,0.8028169014084507,1.0,0,0.0,0,1,0.2823529411764706,0,1,1,0,0,1,0,1,1,0.2691542288557213,0.3037618278329101,0.8224543080939948,0.0,0.0,0.2164989404564985,0.0,0,1,0.945054945054945,0.7651767845230153,Service dissatisfaction,0.1001861808233751,0.4285714285714285,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,1,0,2,1,0,3
2656-FMOKZ,0.836065573770492,0,1,0,1,0.2222222222222222,Pasadena,0,0.0,0.1971830985915492,0.25,1,0.8815763152630527,1,1,0.2235294117647058,0,0,0,0,0,0,0,1,1,0.5592039800995025,0.1300369259173782,0.0,0.0,0.185442334881842,0.1493053174532822,0.25,0,1,0.945054945054945,0.8258839226150767,Limited range of services,0.2254212816079943,0.4285714285714285,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,2,0,3
2070-FNEXE,0.9508196721311476,0,1,0,1,0.2222222222222222,Pasadena,0,0.0,0.0845070422535211,0.25,1,0.5391078215643129,0,1,0.2117647058823529,1,0,0,0,0,0,0,0,0,0.5791044776119403,0.0559427648280637,0.2219321148825065,0.0,0.0529214075719832,0.055179888241994,0.25,0,1,0.8351648351648352,0.537247053591283,Lack of affordable download/upload speed,0.3073693409578813,0.2857142857142857,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,2,0,3
